iterations,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
62,19.033665895462036,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9978489967771115,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9844197974528063,0.864406779661017
63,19.3548846244812,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.997963594796832,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9837828470315678,0.864406779661017
64,19.69197916984558,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9979577550660468,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9836505924094967,0.864406779661017
65,20.01186776161194,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9979778994584801,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9838535348468127,0.864406779661017
66,20.328691959381104,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9980166881290167,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9841446470321759,0.864406779661017
67,20.64115810394287,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9979914004874514,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9840861205614893,0.864406779661017
68,20.97857356071472,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9981301610629896,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9840192331664188,0.864406779661017
69,21.332910299301147,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9981358936427511,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9841416066960363,0.864406779661017
70,21.681546449661255,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9981414654959775,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9842388974525023,0.864406779661017
71,21.99349069595337,0.9995625,0.9853658536585366,0.8632478632478633,0.9999623899907228,0.9981755930969881,0.9202733485193622,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9847283915709721,0.864406779661017
72,22.314549446105957,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9982432053928681,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9844889650999814,0.864406779661017
73,22.638972282409668,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9983174074766984,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9842077340070717,0.864406779661017
74,22.961589574813843,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9982895482105671,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9839318235024064,0.864406779661017
75,23.285465478897095,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9983347123670069,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9833055142576563,0.864406779661017
76,23.61501669883728,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9983640717474681,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9825598718194284,0.864406779661017
77,23.933199882507324,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9983682506373879,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9827491327441162,0.864406779661017
78,24.256125450134277,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9983677148822699,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9830364445093049,0.864406779661017
79,24.559648036956787,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9983888772094274,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9829710772823044,0.864406779661017
80,24.962197303771973,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9984810270897074,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9833792424090408,0.864406779661017
81,25.283130407333374,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9985350847811044,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.982952835265467,0.864406779661017
82,25.59787368774414,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9985580151001509,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9834446096360414,0.864406779661017
83,25.931389093399048,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9985764986517187,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9834408092158669,0.864406779661017
84,26.25403094291687,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.998580784692662,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9831063722405149,0.864406779661017
85,26.570071935653687,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9985871066030533,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9830037608958047,0.864406779661017
86,26.913087606430054,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9986354852902003,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9832880323248538,0.864406779661017
87,27.235453844070435,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9986863820264016,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9832340663583766,0.864406779661017
88,27.55698275566101,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987116160924551,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9828388226602333,0.864406779661017
89,27.882509469985962,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987275815949687,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9827255701390345,0.864406779661017
90,28.202293395996094,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987566730978712,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9828289415677797,0.864406779661017
91,28.521638870239258,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987868896865211,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9826640033322084,0.864406779661017
92,28.845162868499756,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987873182906155,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9826784449288714,0.864406779661017
93,29.161762475967407,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9987621378000737,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9827194894667555,0.864406779661017
94,29.48708415031433,0.9995875,0.9950738916256158,0.8632478632478633,0.9999874633302409,0.9988140524709991,0.9244851258581236,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9823143646761586,0.864406779661017
95,29.828941583633423,0.9996,0.9950980392156863,0.8675213675213675,0.9999874633302409,0.9988785038116834,0.9269406392694064,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9824975449285673,0.864406779661017
96,30.24927043914795,0.9996,0.9950980392156863,0.8675213675213675,0.9999874633302409,0.9988905583018364,0.9269406392694064,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9824869037520788,0.864406779661017
97,30.570395946502686,0.9996,0.9950980392156863,0.8675213675213675,0.9999874633302409,0.9988856829302634,0.9269406392694064,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9823212054324726,0.864406779661017
98,30.8862783908844,0.9996,0.9950980392156863,0.8675213675213675,0.9999874633302409,0.998896023004039,0.9269406392694064,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9823941734998223,0.864406779661017
99,31.20152974128723,0.9996,0.9950980392156863,0.8675213675213675,0.9999874633302409,0.9989636888754307,0.9269406392694064,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9824116554326247,0.864406779661017
100,31.53471040725708,0.999625,0.9951456310679612,0.8760683760683761,0.9999874633302409,0.9989663140755084,0.9318181818181818,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9824192562729737,0.864406779661017
